bedrooms,bathroom,balcony,parking,power_backup,bldg_age,furnishing,transit_score,Cement,Tiles,Wooden,Dont know,East,North,South,West,Bangalore,Chennai,Delhi,Faridabad,Ghaziabad,Gurgaon,Hyderabad,Mumbai,Noida,Pune,area,price
4,17,6.0,3,0,5,1,4.1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.881836305004146,17.50439001207821
2,2,2.0,1,0,2,1,7.4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.07326971745971,15.830413578506539
3,3,3.0,2,0,2,2,4.7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.233455418621439,16.70588231586044
3,3,0.0,3,2,2,1,4.7,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.4977617006225685,16.860032995687696
1,1,0.0,1,0,6,0,5.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.703782474656201,16.11809565095832
4,4,2.0,3,1,2,1,8.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.937374696163295,17.296750647299966
3,2,2.0,3,0,4,2,7.8,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.090076835776092,16.454567887579532
2,2,0.0,3,0,5,0,-10.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.003065458786462,16.300417207752275
3,3,0.0,3,0,2,1,5.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.549609165154532,17.37085861945369
2,2,1.0,3,0,4,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.003065458786462,16.34123920227253
4,19,11.0,3,0,6,1,2.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.779557455883728,17.034386382832476
2,2,1.0,3,0,3,0,7.8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.86484777797086,15.761420707019587
3,3,1.0,0,0,3,1,7.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.4673710669175595,16.012735135300492
3,3,2.0,3,0,2,1,5.3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.411556287811163,16.489659207390805
1,1,0.0,0,0,3,0,7.8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.926926025970411,15.150511624696614
2,2,0.0,3,0,4,1,5.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.907755278982137,15.89495209964411
3,4,1.0,3,0,2,1,7.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.783224016336037,17.50439001207821
2,2,1.0,3,0,2,1,7.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.396929655216146,14.73180128983843
3,3,2.0,2,2,6,0,4.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.170119543449628,16.523560759066484
4,8,0.0,1,0,2,1,7.4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.600902459542082,16.811242831518264
2,2,1.0,3,1,2,1,8.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.24422751560335,16.67771143889374
2,2,1.0,3,2,3,1,8.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.24422751560335,16.654589021472887
2,2,1.0,3,1,2,1,8.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.203405521083095,16.67771143889374
4,6,3.0,1,2,2,1,7.2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.268731832117737,17.034386382832476
1,1,0.0,1,0,2,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.926926025970411,14.73180128983843
3,2,2.0,1,1,4,1,5.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.090076835776092,15.424948470398375
2,2,2.0,3,0,4,0,7.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.787844982309579,15.687312734865866
3,3,0.0,1,0,4,1,4.2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.684611727667927,15.761420707019587
4,2,2.0,1,0,3,1,8.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.912056888179006,16.300417207752275
2,2,0.0,1,0,4,1,4.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.620073206530356,15.60727002719233
4,8,3.0,0,0,3,1,8.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.7406644019172415,16.266515656076592
4,5,0.0,3,0,2,1,8.3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.517193191416238,18.420680743952367
4,4,0.0,3,1,2,1,8.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.8632667240095735,17.84975119611667
2,2,2.0,3,0,3,1,-10.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.047517221357296,15.631962639782701
4,16,0.0,3,0,5,0,8.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.987196820661973,17.86729550576758
2,2,2.0,0,2,6,0,5.3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6.745236349484363,15.201804919084164
3,2,2.0,3,1,6,0,8.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.232010331664759,15.60727002719233
2,2,2.0,3,2,6,1,7.8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.866933284461882,15.687312734865866
4,4,4.0,3,2,4,1,8.1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.517193191416238,17.64415195445337
3,3,4.0,3,0,5,2,4.6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.600902459542082,16.90655301132259
4,6,3.0,3,0,6,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.824046010856292,16.25785759333348
3,3,0.0,3,0,2,0,8.8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.229511118964457,18.273340156053656
3,2,0.0,2,0,4,0,2.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.906754778648554,15.520258650202699
2,2,1.0,3,0,5,0,3.9,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.802394763324311,15.538277155705378
4,12,4.0,1,1,3,1,3.4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.022896869601457,16.99356438831222
2,2,1.0,1,0,2,1,8.3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.814542897259958,16.108045315104818
4,3,0.0,1,0,2,0,8.1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.495541943884256,16.11809565095832
2,2,2.0,3,0,5,1,5.3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.745236349484363,15.538277155705378
4,4,2.0,2,2,5,2,-10.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.738923757439457,17.98989782785991
2,4,1.0,3,0,2,0,8.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.170119543449628,17.213369038360916
4,2,1.0,1,0,5,1,3.9,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.006367567650246,16.454567887579532
4,3,0.0,1,0,3,0,5.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.090076835776092,15.590462908875947
4,3,0.0,3,0,2,1,5.3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7.600902459542082,17.50439001207821
